8b82c96c6de5739a6a1979b634711087bfb1d3290001 Kenh_Hai web 8866phatnh9707951kenh_hai_web 12345 "Laravel" "Hoat Hinh" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/75.4.124 Chrome/69.4.3497.124 Safari/537.36" "undefined" 1.1.1.1 192.168.1.18 2019-1-18T0:7:54Z 3g 4.55 3 0 1 2 0.136 120 23 0.303 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:32:04Z WIFI 1.06 0 0 2 0 0.47 615 49.898 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:32:07Z WIFI 1.06 0 0 2 0 0.47 615 52.68 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:32:07Z WIFI 1.06 0 0 2 0 0.47 615 52.68 0.74 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:07Z WIFI 0.01 0 0 1 0 0.34 615 0 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:17Z WIFI 1.17 0 0 1 0 0.34 615 10.077 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:27Z WIFI 1.06 0 0 1 0 0.34 615 20.077 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:37Z WIFI 1.84 0 0 1 0 0.34 615 30.077 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:47Z WIFI 1.84 0 0 1 0 0.34 615 40.078 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:33:57Z WIFI 1.84 0 0 1 0 0.34 615 50.077 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:34:05Z WIFI 1.84 0 0 1 0 0.34 615 58.603 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:34:05Z WIFI 1.84 0 0 1 0 0.34 615 58.603 0.34 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:34:10Z WIFI 1.87 0 0 1 0 0.23 615 0 0.23 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:43:36Z WIFI 0.02 0 0 1 0 0.4 615 0 0.4 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:43:46Z WIFI 2.71 0 0 1 0 0.4 615 10.141 0.4 -1 
b073fb61f9ccc4d57dfa89ae1cedd04cfc8912e10001 Kenh_Hai android_mobile ANDROID_c9c428c014c741a3 1281 "Cô giáo! mông em buồn nôn" "VOD" "Mozilla/5.0 (Linux; Android 7.1.2; LG-D724 Build/NJH47F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.109 Mobile Safari/537.36" "undefined" 10.10.1.1 192.168.1.1 2019-01-17T16:43:56Z WIFI 2.89 0 0 1 0 0.4 615 20.137 0.4 -1 
